,jgebbia,georgesoros,historydefined,neuralink,beeple,Grimezsz,thesheetztweetz,elonmusk
0,@BillyM2k @garyvee “A waffle is a pancake with a syrup trap.”,"Even as laws increasingly threaten reproductive rights, one company—with support from the Soros Economic Developmen… https://t.co/MPLgy8KhgV","Deer skulls with carved eyeholes dating to 11,000 years ago found at the Star Carr Mesolithic archaeological site,… https://t.co/NzAIPM6i75","Animals at Neuralink are respected and honored by our team. Without proper context, information from medical record… https://t.co/qRR4ytGI8s","THINGS GET REAL TOMORROW. 🗣

https://t.co/kPxBcQdiIT",@OfficialRezz @TessaPaisa I will write the song of the century on this beat holy shit,(Corrected tweet for my lack of knowing what day it is).,"@bevedoni If that’s true, it would make me very happy!"
1,@Jason @chesaboudin 😂,"Working across the United States, the new cohort of 17 Soros Justice Fellows are pursuing a range of projects to en… https://t.co/DeyOaiZ348",Wax mannequins melting during a 1929 heatwave. https://t.co/xwatAXEo36,❤️‍🔥 https://t.co/4ilaOhHPFX,HUMBLED https://t.co/KTgNQS5uyV,@OfficialRezz @TessaPaisa Fk yessss,"Just under two years since launching SpaceX's first crew, this Falcon 9 booster keeps flying – going for its 12th m… https://t.co/YCuUh63k4e",@CathieDWood Passive/index investment is simply an amplifier of active investment. If active investment signal degr… https://t.co/1RJo4o9rUS
2,Well done team https://t.co/rB1UYRHtIu,"To help countries procure more COVID-19 vaccine doses and to foster more vaccine equity, Open Society is creating a… https://t.co/o69ss0E1O4",This is a photo of the vibrantly colored ceiling of the 2000 years old hypostyle hall of the temple of Hathor in De… https://t.co/w46jSPqi9b,We’re more vertically integrated than you'd think bc there's often no vendor capable of completing our task. We als… https://t.co/oKowAQooV6,"‘THE DAY I MISSED MY EVERYDAY’

Beeple Creates and Unveils an ""Everydays"" Digital Art Piece Live on The ...… https://t.co/fVnNBik5h1",@OfficialRezz @TessaPaisa Release this !,@thechrisweaver Sigh...thanks.,Interesting. I wonder if those funding these organizations are fully aware of what the organizations are doing. https://t.co/YzVZIvF68E
3,@elonmusk They couldn’t compete with the discount masons,"RT @OpenSociety: Russia’s war in Ukraine “breaks rules that we thought were no longer breakable,” says Open Society President Mark @malloch…",Why Was 536 One of the Worst Years to be Alive?https://t.co/zdI1qbJecV,Our electrodes are *way* too tiny for a surgeon to manipulate and we must delicately navigate around blood vessels… https://t.co/wZKYZVMMbr,THE LAST LAUGH https://t.co/E6wGh452qV,@OfficialRezz @TessaPaisa Omg,RT @Commercial_Crew: STACKED: @BoeingSpace's #Starliner spacecraft has been placed atop @ULALaunch's Atlas V rocket for the Orbital Flight…,I dunno … seems kinda fungible
4,@km Raines Law Room for drinks,Russia must be held accountable for the horrific slaughter of civilians in Bucha and other places in Ukraine. Seeki… https://t.co/2nwIiHf0Ms,"Plague Fort is a fortress on an artificial island near St. Petersburg. From 1899 to 1917, the fort housed a researc… https://t.co/unAUmeX3lE",We're scaling our first implant product for clinical trials and creating the next-generation implant that is &gt;10x n… https://t.co/XcEkECuLZ4,@Maxs_Quest nope.,@anchormuse @lexfridman @daoudaleonard D what’s the official Twitter handle ?  We shud start pushing it when it’s r… https://t.co/ce9M4gW5kk,"RT @NASASpaceflight: Stratolaunch's Roc has landed, concluding its fifth test flight.

@Stratolaunch partner.

https://t.co/6HHSPat84U http…",@slashdot Slashdot has some of the best comments
5,👏🏼 https://t.co/zcJ2JwYQth,"RT @AlexanderSoros: The U.S. Supreme Court could deliver a lethal blow to #RoeVWade, which affirmed the constitutional right to abortion. B…",One of the most well-preserved dinosaurs ever discovered. Learn more: https://t.co/soDbsAmft2  ©ケラトプスユウタ https://t.co/YtdGoEEGsH,If you’re an awesome SW eng come join us! Your first task will be to enable telepathy 🤯 We’re creating our first hu… https://t.co/lvV2h3IO4O,I just missed my first everyday tonight on the today show. https://t.co/2rSfpOihpJ,@GENESIS_SENSHI @GHARLIERA1 Wtf so sick,"RT @CNBCnow: BREAKING: Federal Reserve raises rates by half a percentage point — the biggest hike in two decades — to fight inflation

http…",@teslaownersSV @kimbal And that’s why I’m not in show biz
6,RT @moiraforbes: Tune in today at 1:30 PM ET for my IG Live interview with Airbnb co-founder Joe Gebbia (@jgebbia) for the first episode of…,Internet blackouts limit digital freedom and stifle dissent. Holding mobile phone service providers to account can… https://t.co/a88PFnvIEs,Tattoos in Japan have a fascinating history. https://t.co/dZL7ABbdU9,We’re using this funding to accelerate our efforts to safely bring this technology to the world. The sooner we do t… https://t.co/OdooduA6GC,ONE HOUR!!! 🤯🤯🤯🤯🤯🤯😂🤯 https://t.co/CkQIu4dPc6,Life imitates art / who should we be? https://t.co/GkccvpZne7,".@ClayMowry and I share the same enthusiasm for meetings that move efficiently 

(via FAA COMSTAC webcast) https://t.co/SLtujZaHvD",@gunsnrosesgirl3 Awareness awakening
7,@AlexCKaufman When this argument gets more real it’s a great sign,Vaccine equity goes beyond the mere supply of shots—it is about ensuring everyone can get one. https://t.co/VJHrCLQvu3,Artist Dario Campanile with Paramount Pictures logo on the day it was originally painted in 1985. https://t.co/jd95AuOAe2,"Announcing our $205M Series C funding round
https://t.co/O04xknRlWm","WE’RE BACK!! just did my everyday LIVE on @FallonTonight to celebrate 15 years!!!  😱😱😱

11:30 EST TONIGHT!!  🙏🙏🙏 https://t.co/7ysyteabCT",@isabelleboemeke YES,"RT @cbs_spacenews: OFT-2: During the rollover to pad 41, as the Starliner neared the Vehicle Assembly Building, a protective window cover s…",@jgebbia Some revenue is better than none!
8,"RT @paulg: I never ask this, but I'm asking now: Please retweet this.

Texas plans to kill Melissa Lucio in four days. Five jurors say evid…",Harm reduction policies and methods like overdose prevention centers can help reduce deaths from drug overdoses eno… https://t.co/5BlZ0Qz2NE,During the 1986 Cleveland Balloonfest over 1.5 million balloons were released simultaneously. https://t.co/bGFQKHD82S,"Jokes aside, this is quite a thoughtful overview of the recent demo from Paul Nuyujukian. Full length video here: https://t.co/LGA9Q6tviH",NEXT FIFTEEN https://t.co/qorSrqUPN5,@isabelleboemeke Are you serious are uuuuuu fkn serious,"RT @chadsonofchad: On the heels of Amazon's massive launch deal, this video by @thesheetztweetz / @CNBC is a great overview of the emerging…",@BillyM2k @waitbutwhy You guys are awesome 🤩
9,Startup founders scaling the wall of product market fit. https://t.co/CfDEpz1MfG,"As International Renaissance Foundation staff fled from Russian bombs in Ukraine, they have admirably continued the… https://t.co/T4IE02bHuc","Yakhchāls were a type of evaporative cooler used to store ice. Primarily found in Persia, their widespread use bega… https://t.co/wAnORLBf4Q",💪🏽👀🦾 https://t.co/jJ1Glzi6rp,a few thoughts after 15 years of everydays… https://t.co/V1c6KEOtyi,@gregeganSF sir! Ur writings are very good,@Mike_Seeley @johnkrausphotos @CHenry_QA @andrewrsorkin https://t.co/eB3cVyT06V,@BillyM2k 🤣
